Country,Lat,Long,Cases,Deaths
Algeria,28.0339,1.6596,716,44
Angola,-11.2027,17.8739,7,2
Benin,9.3077,2.3158,13,0
Botswana,-22.3285,24.6849,4,1
Burkina Faso,12.2383,-1.5616,282,16
Burundi,-3.3731,29.9189,2,0
Cabo Verde,16.5388,-23.0418,6,1
Cameroon,3.848,11.5021,233,6
Central African Republic,6.6111,20.9394,8,0
Chad,15.4542,18.7322,7,0
C̫te d'Ivoire,7.54,-5.5471,190,1
Democratic Republic of the Congo,-4.0383,21.7587,123,11
Djibouti,11.8251,42.5903,33,0
Egypt,26,30,779,52
Equatorial Guinea,1.5,10,15,0
Eritrea,15.1794,39.7823,18,0
Ethiopia,9.145,40.4897,29,0
Gabon,-0.8037,11.6094,18,1
Gambia,13.4432,-15.3101,4,1
Ghana,7.9465,-1.0232,195,5
Guinea,9.9456,-9.6966,22,0
Guinea-Bissau,11.8037,-15.1804,9,0
Kenya,-0.0236,37.9062,81,1
Liberia,6.4281,-9.4295,6,0
Libya,26.3351,17.228331,10,0
Madagascar,-18.7669,46.8691,54,0
Mali,17.570692,-3.996166,28,2
Mauritania,21.0079,10.9408,5,0
Mauritius,-20.2,57.5,161,7
Morocco,31.7917,-7.0926,654,39
Mozambique,-18.665695,35.529562,10,0
Namibia,-22.9576,18.4904,13,0
Niger,17.6078,8.0817,34,3
Nigeria,9.082,8.6753,174,2
Republic of the Congo,-4.0383,21.7587,19,2
Rwanda,-1.9403,29.8739,82,0
Senegal,14.4974,-14.4524,190,1
Seychelles,-4.6796,55.492,10,0
Sierra Leone,8.460555,-11.779889,1,0
Somalia,5.1521,46.1996,5,0
South Africa,-30.5595,22.9375,1380,5
Sudan,12.8628,30.2176,7,2
Swaziland,-26.5,31.5,9,0
Tanzania,-6.369,34.8888,20,1
Togo,8.6195,0.8248,36,2
Tunisia,34,9,423,12
Uganda,1,32,44,0
Zambia,-15.4167,28.2833,36,0
Zimbabwe,-20,30,8,1